Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,7,200,0,7,0.0,0.07,0.035
Kurd,1,200,0,1,0.0,0.01,0.005
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Baloch,0,202,0,0,0.0,0.0,0.0
Gilaki,0,198,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,8,2404,0,8,0.0,0.0066555740432612,0.003328
