Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Azeri,29,200,4,21,0.04,0.21,0.145
Lur,28,200,0,28,0.0,0.28,0.14
Gilaki,26,198,2,22,0.0202,0.2222,0.1313
Mazani,23,200,2,19,0.02,0.19,0.115
Sistani,22,200,0,22,0.0,0.22,0.11
Persian,20,200,1,18,0.01,0.18,0.1
Kurd,18,200,1,16,0.01,0.16,0.09
Turkmen,18,200,3,12,0.03,0.12,0.09
Baloch,15,202,0,15,0.0,0.1485,0.07426
Arab,15,204,1,13,0.0098,0.1275,0.07353
Persian Gulf Islander,14,200,1,12,0.01,0.12,0.07
Zartoshti,10,200,0,10,0.0,0.1,0.05
Total,238,2404,15,208,0.0124792013311148,0.173044925124792,0.099
