Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Persian Gulf Islander,4,200,0,4,0.0,0.04,0.02
Gilaki,1,198,0,1,0.0,0.0101,0.005051
Azeri,1,200,0,1,0.0,0.01,0.005
Arab,1,204,0,1,0.0,0.0098,0.004902
Baloch,0,202,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Mazani,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Sistani,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Zartoshti,0,200,0,0,0.0,0.0,0.0
Total,7,2404,0,7,0.0,0.0058236272878535,0.002912
