Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,6,200,3,0,0.03,0.0,0.03
Sistani,6,200,3,0,0.03,0.0,0.03
Gilaki,2,198,1,0,0.0101,0.0,0.0101
Zartoshti,2,200,1,0,0.01,0.0,0.01
Arab,0,204,0,0,0.0,0.0,0.0
Azeri,0,200,0,0,0.0,0.0,0.0
Baloch,0,202,0,0,0.0,0.0,0.0
Kurd,0,200,0,0,0.0,0.0,0.0
Lur,0,200,0,0,0.0,0.0,0.0
Persian,0,200,0,0,0.0,0.0,0.0
Persian Gulf Islander,0,200,0,0,0.0,0.0,0.0
Turkmen,0,200,0,0,0.0,0.0,0.0
Total,16,2404,8,0,0.0066555740432612,0.0,0.006656
