Population,Allele Count,Allele Number,Number of Homozygotes,Number of Heterozygotes,Homozygous Genotype Freq.,Heterozygous Genotype Freq.,Allele Frequency
Mazani,60,200,26,8,0.26,0.08,0.3
Sistani,41,200,15,11,0.15,0.11,0.205
Persian Gulf Islander,36,200,15,6,0.15,0.06,0.18
Lur,29,200,13,3,0.13,0.03,0.145
Zartoshti,27,200,9,9,0.09,0.09,0.135
Gilaki,22,198,10,2,0.101,0.0202,0.1111
Baloch,22,202,9,4,0.0891,0.0396,0.1089
Arab,21,204,10,1,0.098,0.0098,0.1029
Azeri,20,200,8,4,0.08,0.04,0.1
Turkmen,15,200,6,3,0.06,0.03,0.075
Kurd,14,200,6,2,0.06,0.02,0.07
Persian,12,200,5,2,0.05,0.02,0.06
Total,319,2404,132,55,0.1098169717138103,0.0457570715474209,0.1327
